"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"ABI96137","343","Human","HA","H1N1","USA","N","2005/02/07","Influenza A virus (A/Kentucky/2/2005(H1N1))","","","","","","p"
"AEI85302","300","Swine","HA","H1N1","USA","N","2005/02/10","Influenza A virus (A/swine/Missouri/00498/2005(H1N1))","","","","","",""
"ABI96162","343","Human","HA","H1N1","USA","N","2005/02/14","Influenza A virus (A/New York/4/2006(H1N1))","","","","","","p"
"AEI85312","300","Swine","HA","H1N1","USA","N","2005/02/24","Influenza A virus (A/swine/Missouri/00517/2005(H1N1))","","","","","",""
"AJK02328","343","Human","HA","H1N1","USA","N","2005/02/25","Influenza A virus (A/New Jersey/11/2005(H1N1))","","","","","","p"
"AHB51390","566","Swine","HA","H1N1","USA","N","2005/03/08","Influenza A virus (A/swine/Minnesota/SG1235/2005(H1N1))","","","","","","c"
"AHB52161","566","Swine","HA","H1N1","USA","N","2005/03/08","Influenza A virus (A/swine/Texas/00525/2005(H1N1))","","","","","","c"
"AEI85315","282","Swine","HA","H1N1","USA","N","2005/03/09","Influenza A virus (A/swine/Texas/00526/2005(H1N1))","","","","","","p"
"AEI85319","296","Swine","HA","H1N1","USA","N","2005/03/10","Influenza A virus (A/swine/North Carolina/00538/2005(H1N1))","","","","","","p"
"AEI85320","295","Swine","HA","H1N1","USA","N","2005/03/11","Influenza A virus (A/swine/Kentucky/00539/2005(H1N1))","","","","","","p"
"AEI85309","301","Swine","HA","H1N1","USA","N","2005/03/15","Influenza A virus (A/swine/Oklahoma/00507/2005(H1N1))","","","","","","p"
"AEI85321","299","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Minnesota/00541/2005(H1N1))","","","","","","p"
"AEI85322","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00542/2005(H1N1))","","","","","","p"
"AEI85323","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00543/2005(H1N1))","","","","","",""
"AEI85324","291","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00544/2005(H1N1))","","","","","","p"
"AEI85325","299","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00545/2005(H1N1))","","","","","",""
"AEI85326","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00549/2005(H1N1))","","","","","",""
"AEI85327","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00550/2005(H1N1))","","","","","",""
"AEI85328","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00551/2005(H1N1))","","","","","",""
"AEI85329","300","Swine","HA","H1N1","USA","N","2005/03/18","Influenza A virus (A/swine/Iowa/00552/2005(H1N1))","","","","","","p"
"AEI85330","295","Swine","HA","H1N1","USA","N","2005/03/22","Influenza A virus (A/swine/North Carolina/00553/2005(H1N1))","","","","","","p"
"AHB51352","566","Swine","HA","H1N1","USA","N","2005/03/24","Influenza A virus (A/swine/North Carolina/SG1226/2005(H1N1))","","","","","","c"
"AEI85332","298","Swine","HA","H1N1","USA","N","2005/03/25","Influenza A virus (A/swine/North Carolina/00558/2005(H1N1))","","","","","","p"
"AEI85333","297","Swine","HA","H1N1","USA","N","2005/03/25","Influenza A virus (A/swine/Minnesota/00559/2005(H1N1))","","","","","","p"
"AEI85337","299","Swine","HA","H1N1","USA","N","2005/03/30","Influenza A virus (A/swine/Missouri/00564/2005(H1N1))","","","","","","p"
"ABI96138","343","Human","HA","H1N1","USA","N","2005/03/30","Influenza A virus (A/Kentucky/9/2005(H1N1))","","","","","","p"
"ABI96139","343","Human","HA","H1N1","USA","N","2005/03/30","Influenza A virus (A/Kentucky/9e/2005(H1N1))","","","","","","p"
"ABP51970","343","Human","HA","H1N1","USA","N","2005/03/30","Influenza A virus (A/Kentucky/9e/2005(H1N1))","","","","","","p"
"AKC45165","566","Swine","HA","H1N1","USA","N","2005/03/30","Influenza A virus (A/swine/Missouri/00564/2005(H1N1))","","","","","","c"
"AKC44871","566","Swine","HA","H1N1","USA","N","2005/04/20","Influenza A virus (A/swine/Minnesota/00584/2005(H1N1))","","","","","","c"
"AHB51803","566","Swine","HA","H1N1","USA","N","2005/04/26","Influenza A virus (A/swine/Minnesota/00574/2005(H1N1))","","","","","","c"
"AHB51378","566","Swine","HA","H1N1","USA","N","2005/04/26","Influenza A virus (A/swine/Minnesota/00574/2005(H1N1))","","","","","","c"
"AEI85353","284","Swine","HA","H1N1","USA","N","2005/04/29","Influenza A virus (A/swine/Nebraska/00594/2005(H1N1))","","","","","","p"
"AEI85358","296","Swine","HA","H1N1","USA","N","2005/05/04","Influenza A virus (A/swine/Iowa/00605/2005(H1N1))","","","","","","p"
"AEI85363","297","Swine","HA","H1N1","USA","N","2005/05/04","Influenza A virus (A/swine/Missouri/00615/2005(H1N1))","","","","","","p"
"AHB22879","566","Swine","HA","H1N1","USA","N","2005/05/05","Influenza A virus (A/swine/North Carolina/SG1478/2005(H1N1))","","","","","","c"
"AEI85364","296","Swine","HA","H1N1","USA","N","2005/05/11","Influenza A virus (A/swine/Missouri/00617/2005(H1N1))","","","","","","p"
"AEI85365","297","Swine","HA","H1N1","USA","N","2005/05/19","Influenza A virus (A/swine/Missouri/00618/2005(H1N1))","","","","","","p"
"AEI85371","300","Swine","HA","H1N1","USA","N","2005/05/20","Influenza A virus (A/swine/North Carolina/00636/2005(H1N1))","","","","","","p"
"AEI85366","290","Swine","HA","H1N1","USA","N","2005/05/24","Influenza A virus (A/swine/North Carolina/00619/2005(H1N1))","","","","","","p"
"AEI85374","295","Swine","HA","H1N1","USA","N","2005/06/09","Influenza A virus (A/swine/Iowa/00647/2005(H1N1))","","","","","","p"
"AEI85375","300","Swine","HA","H1N1","USA","N","2005/06/09","Influenza A virus (A/swine/Missouri/00648/2005(H1N1))","","","","","",""
"AHB51401","566","Swine","HA","H1N1","USA","N","2005/06/21","Influenza A virus (A/swine/Minnesota/SG1237/2005(H1N1))","","","","","","c"
"AEI85377","300","Swine","HA","H1N1","USA","N","2005/06/22","Influenza A virus (A/swine/North Carolina/00655/2005(H1N1))","","","","","",""
"AEI85378","271","Swine","HA","H1N1","USA","N","2005/06/29","Influenza A virus (A/swine/North Carolina/00656/2005(H1N1))","","","","","","p"
"AEI85381","300","Swine","HA","H1N1","USA","N","2005/07/06","Influenza A virus (A/swine/Missouri/00663/2005(H1N1))","","","","","",""
"AEI85384","296","Swine","HA","H1N1","USA","N","2005/07/14","Influenza A virus (A/swine/Texas/00669/2005(H1N1))","","","","","","p"
"AEI85385","300","Swine","HA","H1N1","USA","N","2005/07/14","Influenza A virus (A/swine/Texas/00670/2005(H1N1))","","","","","",""
"AEI85445","291","Swine","HA","H1N1","USA","N","2005/07/15","Influenza A virus (A/swine/Missouri/00776/2005(H1N1))","","","","","","p"
"AEI85446","296","Swine","HA","H1N1","USA","N","2005/07/15","Influenza A virus (A/swine/Missouri/00777/2005(H1N1))","","","","","","p"
"AHB51340","566","Swine","HA","H1N1","USA","N","2005/07/19","Influenza A virus (A/swine/Arkansas/SG1214/2005(H1N1))","","","","","","c"
"AEI85394","284","Swine","HA","H1N1","USA","N","2005/07/28","Influenza A virus (A/swine/Missouri/00680/2005(H1N1))","","","","","","p"
"ABI96140","343","Human","HA","H1N1","USA","N","2005/08/08","Influenza A virus (A/Massachussetts/9/2005(H1N1))","","","","","","p"
"AJK01283","343","Human","HA","H1N1","USA","N","2005/08/08","Influenza A virus (A/Massachussetts/9/2005(H1N1))","","","","","","p"
"AEI85407","300","Swine","HA","H1N1","USA","N","2005/08/10","Influenza A virus (A/swine/North Carolina/00706/2005(H1N1))","","","","","","p"
"AEI85408","300","Swine","HA","H1N1","USA","N","2005/08/11","Influenza A virus (A/swine/Missouri/00707/2005(H1N1))","","","","","",""
"ABI96141","343","Human","HA","H1N1","USA","N","2005/08/17","Influenza A virus (A/Oklahoma/7/2005(H1N1))","","","","","","p"
"AEI85412","291","Swine","HA","H1N1","USA","N","2005/08/25","Influenza A virus (A/swine/Minnesota/00715/2005(H1N1))","","","","","","p"
"AEI85413","265","Swine","HA","H1N1","USA","N","2005/08/31","Influenza A virus (A/swine/North Carolina/00716/2005(H1N1))","","","","","","p"
"AEI85414","292","Swine","HA","H1N1","USA","N","2005/08/31","Influenza A virus (A/swine/North Carolina/00717/2005(H1N1))","","","","","","p"
"AEI85416","300","Swine","HA","H1N1","USA","N","2005/09/04","Influenza A virus (A/swine/North Carolina/00719/2005(H1N1))","","","","","","p"
"AEI85417","300","Swine","HA","H1N1","USA","N","2005/09/07","Influenza A virus (A/swine/Minnesota/00720/2005(H1N1))","","","","","","p"
"AEI85418","295","Swine","HA","H1N1","USA","N","2005/09/07","Influenza A virus (A/swine/North Carolina/00721/2005(H1N1))","","","","","","p"
"AEI85419","300","Swine","HA","H1N1","USA","N","2005/09/08","Influenza A virus (A/swine/North Carolina/00724/2005(H1N1))","","","","","","p"
"AEI85420","289","Swine","HA","H1N1","USA","N","2005/09/13","Influenza A virus (A/swine/North Carolina/00725/2005(H1N1))","","","","","","p"
"AEI85422","300","Swine","HA","H1N1","USA","N","2005/09/14","Influenza A virus (A/swine/Minnesota/00728/2005(H1N1))","","","","","",""
"AEI85447","295","Swine","HA","H1N1","USA","N","2005/09/20","Influenza A virus (A/swine/Minnesota/00782/2005(H1N1))","","","","","","p"
"AEI85448","298","Swine","HA","H1N1","USA","N","2005/09/21","Influenza A virus (A/swine/South Dakota/00783/2005(H1N1))","","","","","","p"
"AEI85427","295","Swine","HA","H1N1","USA","N","2005/09/21","Influenza A virus (A/swine/Iowa/00737/2005(H1N1))","","","","","","p"
"AEI85428","300","Swine","HA","H1N1","USA","N","2005/09/21","Influenza A virus (A/swine/Iowa/00738/2005(H1N1))","","","","","",""
"AEI85449","300","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00786/2005(H1N1))","","","","","",""
"AEI85450","294","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00787/2005(H1N1))","","","","","","p"
"AEI85451","300","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00788/2005(H1N1))","","","","","",""
"AEI85452","288","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00789/2005(H1N1))","","","","","","p"
"AEI85454","300","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00791/2005(H1N1))","","","","","",""
"AEI85455","300","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00792/2005(H1N1))","","","","","",""
"AEI85456","296","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00793/2005(H1N1))","","","","","","p"
"AEI85457","295","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/North Carolina/00794/2005(H1N1))","","","","","","p"
"AEI85453","300","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00790/2005(H1N1))","","","","","",""
"AHB22819","566","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00790/2005(H1N1))","","","","","","c"
"AHB23244","95","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00743/2005(H1N1))","","","","","","p"
"AHB23245","89","Swine","HA","H1N1","USA","N","2005/09/23","Influenza A virus (A/swine/Oklahoma/00743/2005(H1N1))","","","","","","p"
"AEI85460","300","Swine","HA","H1N1","USA","N","2005/09/28","Influenza A virus (A/swine/Minnesota/00798/2005(H1N1))","","","","","",""
"AEI85462","289","Swine","HA","H1N1","USA","N","2005/10/04","Influenza A virus (A/swine/Oklahoma/00802/2005(H1N1))","","","","","","p"
"AEI85434","256","Swine","HA","H1N1","USA","N","2005/10/04","Influenza A virus (A/swine/Iowa/00748/2005(H1N1))","","","","","","p"
"AEI85461","289","Swine","HA","H1N1","USA","N","2005/10/04","Influenza A virus (A/swine/Oklahoma/00801/2005(H1N1))","","","","","","p"
"AHB22843","565","Swine","HA","H1N1","USA","N","2005/10/04","Influenza A virus (A/swine/Oklahoma/00801/2005(H1N1))","","","","","","c"
"AEI85439","300","Swine","HA","H1N1","USA","N","2005/10/07","Influenza A virus (A/swine/Missouri/00762/2005(H1N1))","","","","","","p"
"AEI85463","300","Swine","HA","H1N1","USA","N","2005/10/11","Influenza A virus (A/swine/Ohio/00806/2005(H1N1))","","","","","",""
"AEI85465","298","Swine","HA","H1N1","USA","N","2005/10/11","Influenza A virus (A/swine/Illinois/00811/2005(H1N1))","","","","","","p"
"AEI85466","300","Swine","HA","H1N1","USA","N","2005/10/11","Influenza A virus (A/swine/Minnesota/00812/2005(H1N1))","","","","","","p"
"AEI85468","299","Swine","HA","H1N1","USA","N","2005/10/12","Influenza A virus (A/swine/Texas/00815/2005(H1N1))","","","","","","p"
"AEI85470","300","Swine","HA","H1N1","USA","N","2005/10/14","Influenza A virus (A/swine/Minnesota/00819/2005(H1N1))","","","","","",""
"AEI85474","300","Swine","HA","H1N1","USA","N","2005/10/18","Influenza A virus (A/swine/Minnesota/00825/2005(H1N1))","","","","","",""
"AHB22867","566","Swine","HA","H1N1","USA","N","2005/10/20","Influenza A virus (A/swine/North Carolina/SG1477/2005(H1N1))","","","","","","c"
"AEI85477","296","Swine","HA","H1N1","USA","N","2005/10/21","Influenza A virus (A/swine/Oklahoma/00829/2005(H1N1))","","","","","","p"
"AEI85478","296","Swine","HA","H1N1","USA","N","2005/10/24","Influenza A virus (A/swine/Minnesota/00831/2005(H1N1))","","","","","","p"
"AEI85479","300","Swine","HA","H1N1","USA","N","2005/10/25","Influenza A virus (A/swine/Oklahoma/00833/2005(H1N1))","","","","","",""
"AEI85480","291","Swine","HA","H1N1","USA","N","2005/10/25","Influenza A virus (A/swine/Oklahoma/00834/2005(H1N1))","","","","","","p"
"AEI85481","284","Swine","HA","H1N1","USA","N","2005/10/25","Influenza A virus (A/swine/Iowa/00835/2005(H1N1))","","","","","","p"
"AEI85482","300","Swine","HA","H1N1","USA","N","2005/10/26","Influenza A virus (A/swine/Missouri/00836/2005(H1N1))","","","","","",""
"AEI85483","296","Swine","HA","H1N1","USA","N","2005/10/27","Influenza A virus (A/swine/Minnesota/00838/2005(H1N1))","","","","","","p"
"AEI85484","294","Swine","HA","H1N1","USA","N","2005/10/27","Influenza A virus (A/swine/North Carolina/00839/2005(H1N1))","","","","","","p"
"AEO91779","565","Swine","HA","H1N1","USA","N","2005/10/27","Influenza A virus (A/swine/North Carolina/00839/2005(H1N1))","","","","","","c"
"AEI85485","294","Swine","HA","H1N1","USA","N","2005/11/01","Influenza A virus (A/swine/Iowa/00842/2005(H1N1))","","","","","","p"
"AEI85486","300","Swine","HA","H1N1","USA","N","2005/11/01","Influenza A virus (A/swine/Iowa/00843/2005(H1N1))","","","","","",""
"AEI85487","300","Swine","HA","H1N1","USA","N","2005/11/03","Influenza A virus (A/swine/Oklahoma/00846/2005(H1N1))","","","","","",""
"AEI85488","300","Swine","HA","H1N1","USA","N","2005/11/08","Influenza A virus (A/swine/Missouri/00848/2005(H1N1))","","","","","","p"
"AEI85489","300","Swine","HA","H1N1","USA","N","2005/11/08","Influenza A virus (A/swine/North Carolina/00850/2005(H1N1))","","","","","","p"
"AHB24798","566","Swine","HA","H1N1","USA","N","2005/11/08","Influenza A virus (A/swine/North Carolina/00850/2005(H1N1))","","","","","","c"
"ABI96144","343","Human","HA","H1N1","USA","N","2005/11/09","Influenza A virus (A/California/26/2005(H1N1))","","","","","","p"
"AEI85494","300","Swine","HA","H1N1","USA","N","2005/11/11","Influenza A virus (A/swine/Minnesota/00857/2005(H1N1))","","","","","",""
"AEI85495","300","Swine","HA","H1N1","USA","N","2005/11/15","Influenza A virus (A/swine/Nebraska/00860/2005(H1N1))","","","","","","p"
"AEI85496","295","Swine","HA","H1N1","USA","N","2005/11/15","Influenza A virus (A/swine/Missouri/00861/2005(H1N1))","","","","","","p"
"ABI96143","343","Human","HA","H1N1","USA","N","2005/11/16","Influenza A virus (A/Colorado/20/2005(H1N1))","","","","","","p"
"ABI96142","357","Human","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/Wisconsin/73/2005(H1N1))","","","","","","p"
"AEI85497","295","Swine","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/swine/Oklahoma/00864/2005(H1N1))","","","","","","p"
"AJK02307","357","Human","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/Wisconsin/73/2005(H1N1))","","","","","","p"
"AEI85498","300","Swine","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/swine/Oklahoma/00865/2005(H1N1))","","","","","",""
"AHB22807","566","Swine","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/swine/Texas/00867/2005(H1N1))","","","","","","c"
"AEI85499","299","Swine","HA","H1N1","USA","N","2005/11/17","Influenza A virus (A/swine/Texas/00867/2005(H1N1))","","","","","","p"
"AEI85500","299","Swine","HA","H1N1","USA","N","2005/11/18","Influenza A virus (A/swine/Minnesota/00869/2005(H1N1))","","","","","","p"
"ABI96145","343","Human","HA","H1N1","USA","N","2005/11/21","Influenza A virus (A/California/27/2005(H1N1))","","","","","","p"
"AEI85502","294","Swine","HA","H1N1","USA","N","2005/11/22","Influenza A virus (A/swine/North Carolina/00871/2005(H1N1))","","","","","","p"
"AEI85503","296","Swine","HA","H1N1","USA","N","2005/11/23","Influenza A virus (A/swine/North Carolina/00872/2005(H1N1))","","","","","","p"
"AEI85506","299","Swine","HA","H1N1","USA","N","2005/11/25","Influenza A virus (A/swine/Minnesota/00875/2005(H1N1))","","","","","","p"
"ABI96147","343","Human","HA","H1N1","USA","N","2005/11/27","Influenza A virus (A/New Hampshire/1/2005(H1N1))","","","","","","p"
"AEI85508","295","Swine","HA","H1N1","USA","N","2005/12/01","Influenza A virus (A/swine/Illinois/00880/2005(H1N1))","","","","","","p"
"AEI85509","299","Swine","HA","H1N1","USA","N","2005/12/01","Influenza A virus (A/swine/Minnesota/00881/2005(H1N1))","","","","","","p"
"AEI85510","299","Swine","HA","H1N1","USA","N","2005/12/02","Influenza A virus (A/swine/Minnesota/00882/2005(H1N1))","","","","","","p"
"AHB20943","566","Swine","HA","H1N1","USA","N","2005/12/06","Influenza A virus (A/swine/Oklahoma/SG1217/2005(H1N1))","","","","","","c"
"AHB23664","566","Swine","HA","H1N1","USA","N","2005/12/06","Influenza A virus (A/swine/North Carolina/SG1229/2005(H1N1))","","","","","","c"
"AEI85513","292","Swine","HA","H1N1","USA","N","2005/12/07","Influenza A virus (A/swine/Minnesota/00888/2005(H1N1))","","","","","","p"
"ACQ73202","558","Human","HA","H1N1","USA","N","2005/12/08","Influenza A virus (A/Wisconsin/87/2005(H1N1))","","","","","","p"
"AHB22891","566","Swine","HA","H1N1","USA","N","2005/12/08","Influenza A virus (A/swine/North Carolina/SG1479/2005(H1N1))","","","","","","c"
"AEI85528","301","Swine","HA","H1N1","USA","N","2005/12/13","Influenza A virus (A/swine/North Carolina/00926/2005(H1N1))","","","","","","p"
"AEI85529","289","Swine","HA","H1N1","USA","N","2005/12/13","Influenza A virus (A/swine/North Carolina/00927/2005(H1N1))","","","","","","p"
"AEI85527","284","Swine","HA","H1N1","USA","N","2005/12/13","Influenza A virus (A/swine/North Carolina/00925/2005(H1N1))","","","","","","p"
"AHB22903","566","Swine","HA","H1N1","USA","N","2005/12/13","Influenza A virus (A/swine/North Carolina/00925/2005(H1N1))","","","","","","c"
"AEI85531","296","Swine","HA","H1N1","USA","N","2005/12/15","Influenza A virus (A/swine/Minnesota/00930/2005(H1N1))","","","","","","p"
"AEI85532","300","Swine","HA","H1N1","USA","N","2005/12/20","Influenza A virus (A/swine/North Carolina/00932/2005(H1N1))","","","","","",""
"AEI85533","286","Swine","HA","H1N1","USA","N","2005/12/23","Influenza A virus (A/swine/Iowa/00935/2005(H1N1))","","","","","","p"
"ABI96146","343","Human","HA","H1N1","USA","N","2005/12/23","Influenza A virus (A/New Jersey/10/2005(H1N1))","","","","","","p"
"ABI96148","343","Human","HA","H1N1","USA","N","2005/12/25","Influenza A virus (A/New Jersey/11/2005(H1N1))","","","","","","p"
"AEI85534","261","Swine","HA","H1N1","USA","N","2005/12/30","Influenza A virus (A/swine/Illinois/00937/2005(H1N1))","","","","","","p"
"AEI85535","300","Swine","HA","H1N1","USA","N","2005/12/30","Influenza A virus (A/swine/Minnesota/00938/2005(H1N1))","","","","","",""
"AHB20991","566","Swine","HA","H1N1","USA","N","2005/12/30","Influenza A virus (A/swine/Minnesota/00938/2005(H1N1))","","","","","","c"
"ABW23283","392","Human","HA","H1N1","USA","N","2006","Influenza A virus (A/Georgia/08/2006(H1N1))","","","","","","p"
"ACC59522","388","Human","HA","H1N1","Nicaragua","T","2006","Influenza A virus (A/Managua/FLU4499/2006(H1N1))","","","","","",""
"ACC59523","366","Human","HA","H1N1","Nicaragua","T","2006","Influenza A virus (A/Managua/FLU4501/2006(H1N1))","","","","","",""
"ACD65201","550","Swine","HA","H1N1","USA","N","2006","Influenza A virus (A/swine/Ohio/C62006/2006(H1N1))","","","","","","p"
"ACD65202","548","Human","HA","H1N1","USA","N","2006","Influenza A virus (A/Ohio/K1130/2006(H1N1))","","","","","","p"
"ACD65203","535","Human","HA","H1N1","USA","N","2006","Influenza A virus (A/Ohio/K1207/2006(H1N1))","","","","","","p"
"AEI85545","298","Swine","HA","H1N1","USA","N","2006/01/04","Influenza A virus (A/swine/North Carolina/00955/2006(H1N1))","","","","","","p"
"AEI85544","294","Swine","HA","H1N1","USA","N","2006/01/04","Influenza A virus (A/swine/Oklahoma/00954/2006(H1N1))","","","","","","p"
"ABI96149","343","Human","HA","H1N1","USA","N","2006/01/05","Influenza A virus (A/Arizona/1/2006(H1N1))","","","","","","p"
"AEI85546","300","Swine","HA","H1N1","USA","N","2006/01/11","Influenza A virus (A/swine/Missouri/00957/2006(H1N1))","","","","","",""
"AEI85547","301","Swine","HA","H1N1","USA","N","2006/01/11","Influenza A virus (A/swine/North Carolina/00958/2006(H1N1))","","","","","",""
"AEI85548","298","Swine","HA","H1N1","USA","N","2006/01/12","Influenza A virus (A/swine/Minnesota/00961/2006(H1N1))","","","","","","p"
"ABI96151","343","Human","HA","H1N1","USA","N","2006/01/16","Influenza A virus (A/Florida/1/2006(H1N1))","","","","","","p"
"ABI96152","343","Human","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/Virginia/1/2006(H1N1))","","","","","","p"
"ABI96153","343","Human","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/Virginia/1e/2006(H1N1))","","","","","","p"
"ABI96154","343","Human","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/New Jersey/1/2006(H1N1))","","","","","","p"
"ABI96150","343","Human","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/Pennsylvania/1/2006(H1N1))","","","","","","p"
"AEI85549","300","Swine","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/swine/Minnesota/00964/2006(H1N1))","","","","","","p"
"AEI85550","284","Swine","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/swine/Minnesota/00965/2006(H1N1))","","","","","","p"
"AEI85551","295","Swine","HA","H1N1","USA","N","2006/01/17","Influenza A virus (A/swine/Minnesota/00966/2006(H1N1))","","","","","","p"
"AEI85552","301","Swine","HA","H1N1","USA","N","2006/01/20","Influenza A virus (A/swine/North Carolina/00968/2006(H1N1))","","","","","","p"
"AEI85554","300","Swine","HA","H1N1","USA","N","2006/01/27","Influenza A virus (A/swine/North Carolina/00972/2006(H1N1))","","","","","","p"
"AEI85555","296","Swine","HA","H1N1","USA","N","2006/02/01","Influenza A virus (A/swine/Missouri/00976/2006(H1N1))","","","","","","p"
"AEI85556","300","Swine","HA","H1N1","USA","N","2006/02/01","Influenza A virus (A/swine/North Carolina/00977/2006(H1N1))","","","","","",""
"ABI96155","343","Human","HA","H1N1","USA","N","2006/02/01","Influenza A virus (A/North Carolina/1/2006(H1N1))","","","","","","p"
"ABI96158","343","Human","HA","H1N1","USA","N","2006/02/02","Influenza A virus (A/Rhode Island/1/2006(H1N1))","","","","","","p"
"AEI85557","298","Swine","HA","H1N1","USA","N","2006/02/02","Influenza A virus (A/swine/North Carolina/00979/2006(H1N1))","","","","","","p"
"AEI85558","299","Swine","HA","H1N1","USA","N","2006/02/03","Influenza A virus (A/swine/Iowa/00980/2006(H1N1))","","","","","","p"
"AEI85559","298","Swine","HA","H1N1","USA","N","2006/02/03","Influenza A virus (A/swine/North Carolina/00981/2006(H1N1))","","","","","","p"
"AEI85560","295","Swine","HA","H1N1","USA","N","2006/02/03","Influenza A virus (A/swine/Missouri/00983/2006(H1N1))","","","","","","p"
"AEI85561","287","Swine","HA","H1N1","USA","N","2006/02/03","Influenza A virus (A/swine/Missouri/00984/2006(H1N1))","","","","","",""
"AEI85564","299","Swine","HA","H1N1","USA","N","2006/02/07","Influenza A virus (A/swine/Ohio/00991/2006(H1N1))","","","","","","p"
"ABW23314","544","Human","HA","H1N1","USA","N","2006/02/07","Influenza A virus (A/Wisconsin/58/2006(H1N1))","","","","","","p"
"AJK01850","544","Human","HA","H1N1","USA","N","2006/02/07","Influenza A virus (A/Wisconsin/58/2006(H1N1))","","","","","","p"
